contract_award_unique_key,award_id_piid,total_obligated_amount,current_total_value_of_award,potential_total_value_of_award,award_base_action_date,award_base_action_year,current_end_date,awarding_agency_name,awarding_sub_agency_name,funding_agency_name,funding_sub_agency_name,recipient_name,recipient_parent_name,recipient_city_name,recipient_state_code,recipient_zipcode,primary_place_of_performance_city_name,primary_place_of_performance_state_code,award_type,type_of_contract_pricing,product_or_service_code_description,naics_code,naics_description,number_of_offers_received,organizational_type,clean_recipient_name,clean_recipient_parent_name
CONT_AWD_N0002420F8422_9700_N0002418D6401_9700,N0002420F8422,124598.8,124598.8,124598.8,2020-09-02,2020,2021-09-01,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8325_9700_N0002418D6401_9700,N0002420F8325,125000,600000,600000,2020-09-02,2020,2021-11-03,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8428_9700_N0002418D6401_9700,N0002420F8428,1102155.82,1997532.82,1997532.82,2020-09-01,2020,2021-08-31,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8824_9700_N0002418D6401_9700,N0002420F8824,90000,90000,90000,2020-08-28,2020,2021-08-27,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,HONOLULU,HI,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8427_9700_N0002418D6401_9700,N0002420F8427,3198573,3198573,3198573,2020-08-26,2020,2023-02-25,Department of Defense,Department of the Navy,Department of Defense,Defense Advanced Research Projects Agency,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8400_9700_N0002418D6401_9700,N0002420F8400,300000,300000,300000,2020-08-26,2020,2021-06-01,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8383_9700_N0002418D6401_9700,N0002420F8383,937337.46,4124337.46,4124337.46,2020-08-26,2020,2022-11-30,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8431_9700_N0002418D6401_9700,N0002420F8431,200532.14,200532.14,200532.14,2020-08-25,2020,2021-08-24,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8430_9700_N0002418D6401_9700,N0002420F8430,293959.1,293959.1,293959.1,2020-08-25,2020,2021-09-30,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8420_9700_N0002418D6401_9700,N0002420F8420,199540.85,199540.85,199540.85,2020-08-25,2020,2022-02-24,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8419_9700_N0002418D6401_9700,N0002420F8419,300000,300000,300000,2020-08-25,2020,2021-08-24,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8404_9700_N0002418D6401_9700,N0002420F8404,695000,1200000,1200000,2020-08-25,2020,2023-08-24,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8394_9700_N0002418D6401_9700,N0002420F8394,100000,500000,500000,2020-08-25,2020,2024-02-24,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8426_9700_N0002418D6401_9700,N0002420F8426,189585.66,189585.66,189585.66,2020-08-24,2020,2021-08-24,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8424_9700_N0002418D6401_9700,N0002420F8424,1200000,1200000,1200000,2020-08-24,2020,2022-04-23,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8418_9700_N0002418D6401_9700,N0002420F8418,1340484.9,1340484.9,1340484.9,2020-08-12,2020,2022-02-11,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8406_9700_N0002418D6401_9700,N0002420F8406,370023,991389,991389,2020-08-12,2020,2023-08-11,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8371_9700_N0002418D6401_9700,N0002420F8371,266733,266733,266733,2020-08-12,2020,2022-09-30,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8417_9700_N0002418D6401_9700,N0002420F8417,468000,500000,500000,2020-08-05,2020,2024-09-30,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8356_9700_N0002418D6401_9700,N0002420F8356,83924.23,417464.23,483540,2020-07-29,2020,2023-07-28,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8392_9700_N0002418D6401_9700,N0002420F8392,2777552.37,2777552.37,2777552.37,2020-07-28,2020,2021-10-28,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8411_9700_N0002418D6401_9700,N0002420F8411,1400000,2498000,2498000,2020-07-27,2020,2023-07-26,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8415_9700_N0002418D6401_9700,N0002420F8415,2500000,4168000,4168000,2020-07-22,2020,2021-10-21,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8343_9700_N0002418D6401_9700,N0002420F8343,18575802,29895695,29895695,2020-07-22,2020,2024-09-30,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8402_9700_N0002418D6401_9700,N0002420F8402,161123.32,161123.32,161123.32,2020-07-20,2020,2021-07-31,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8386_9700_N0002418D6401_9700,N0002420F8386,400000,400000,400000,2020-07-17,2020,2022-01-10,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8414_9700_N0002418D6401_9700,N0002420F8414,185000,185000,185000,2020-07-14,2020,2021-07-13,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS AWARD FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8413_9700_N0002418D6401_9700,N0002420F8413,499000,499000,499000,2020-07-13,2020,2021-07-12,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8407_9700_N0002418D6401_9700,N0002420F8407,1200000,1200000,1200000,2020-07-08,2020,2021-10-07,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8409_9700_N0002418D6401_9700,N0002420F8409,4229365,4229365,4229365,2020-07-07,2020,2023-07-06,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8412_9700_N0002418D6401_9700,N0002420F8412,250000,600000,600000,2020-06-29,2020,2021-06-28,Department of Defense,Department of the Navy,Department of Defense,Department of the Army,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8410_9700_N0002418D6401_9700,N0002420F8410,250000,375000,375000,2020-06-29,2020,2021-06-28,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8403_9700_N0002418D6401_9700,N0002420F8403,250000,250000,250000,2020-06-25,2020,2021-09-30,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
CONT_AWD_N0002420F8408_9700_N0002418D6401_9700,N0002420F8408,766528,766528,766528,2020-06-23,2020,2021-07-22,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,UNIVERSITY PARK,PA,16802,UNIVERSITY PARK,PA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",0,CORPORATE TAX EXEMPT,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY
