company_name,year_founded,industries,hq,zipcode,description,operating_status,cb_rank,funding_status,funding_date,funding_type,acquired_by,acquired_price,ipo_status,ipo_valuation,ipo_date,growth_confidence,growth_category,estimated_revenue,num_employees,num_funding_rounds,total_funding,top_investors,num_investors
Tech Pro Space,2017,"Information Technology, IT Management, Security","Kansas City, Kansas, United States",66109,"Tech Pro Space is an information technology and services company that provides data security, IT management, and support services.",Active,893543,,,,,,Private,,,,,$1M to $10M,10-Jan,,,,
Raven Space Systems,2020,"3D Printing, Aerospace, Manufacturing, Transportation","Kansas City, Missouri, United States",66103,Raven Space Systems creates 3D-printed reentry capsules to return cargo from space.,Active,1584042,,2023-04-18,Non-equity Assistance,,,Private,,,,Growing,Less than $1M,10-Jan,1,,AWS Space Accelerator,1
Slack Space,2015,"Consulting, Information Technology, Network Security","Washington, District of Columbia, United States",65202,Slack Space is Mid Missouri's premier source for business technology solutions.,Active,1561344,,,,,,Private,,,,,$1M to $10M,10-Jan,,,,
"Geant Technology, LLC",2017,"Cyber Security, DevOps, Information Technology, SaaS, Software","Kansas City, Missouri, United States",64120,Geant Technology is a Computer Systems Design and Services company that provides Platform as a Service and SaaS solutions to businesses.,Active,70073,,2022-09-25,Grant,,,Private,,,,,$1M to $10M,10-Jan,1,5650000,,
KC Cornerstones LLC,2019,"Communities, Consulting, Education, Information Technology","Kansas City, Missouri, United States",64116,"Capacity Development Consulting, Health Systems Engineer,",Active,3280270,,,,,,Private,,,,,,10-Jan,,,,
Qieon Research,2015,"Computer Vision, Robotics","Kansas City, Missouri, United States",64108,We are QI Research. We are specialists We are Engineering the future. We put the space in Im Possible™,Active,132663,M&A,2017-05-25,Seed,MindDust Labs,,Private,,,,,,10-Jan,3,21500000,Hooli.xyz,1
Strayos,2016,"3D Technology, Analytics, Artificial Intelligence (AI), Computer Vision, Drone Management, Drones, Machine Learning, Mining Technology, SaaS, Software","Saint Louis, Missouri, United States",63139,Strayos is a 3D aerial intelligence platform for Mining and Quarry blasting operations to reduce cost.,Active,77945,Seed,2019-11-07,Grant,,,Private,,,,,$1M to $10M,10-Jan,5,950000,"Techstars, Quake Capital Partners, Arch Grants, Dreamit Ventures, Geekdom Fund",9
impossible Sensing,2016,"Aerospace, Information Technology, Space Travel","St Louis, Missouri, United States",63118,"At Impossible Sensing, we specialize in science and technology for measuring the scattering and absorption of light.",Active,120501,,2023-07-11,Grant,,,Private,,,,,,10-Jan,2,250000,"Creative Destruction Lab (CDL), Wells Fargo Innovation Incubator",2
uFab,2022,"3D Printing, Consulting, Consumer Electronics, Electronics, Hardware, Manufacturing","St Louis, Missouri, United States",63110,uFab is revolutionizing circuit board manufacturing with its patent pending technology.,Active,171829,Seed,,Grant,,,Private,,,,,,10-Jan,3,75000,"Arch Grants, Holekamp Seed Fund, Villhard Growth Partners",3
The Incubator,2018,"Information Services, Information Technology","Springfield, Illinois, United States",62701,"The Incubator is a community-focused coworking space with a mission to support, promote.",Active,2461887,,,,,,Private,,,,,,10-Jan,,,,
Blocklight,2018,"Analytics, E-Commerce, Information Technology, SaaS, Software","Chicago, Illinois, United States",60654,Blocklight is the premier analytics platform for e-commerce businesses,Active,126731,,2019-09-01,Undisclosed,,,Private,,,,,Less than $1M,10-Jan,1,183338,,
Route,2019,"Business Information Systems, CleanTech, Commercial, Information Technology, PaaS, Professional Services, Property Management, Real Estate, SaaS, Software","Chicago, Illinois, United States",60646,Route is a Business Management Platform for Facility services industry.,Active,41970,Seed,2024-09-13,Grant,,,Private,,,,,,10-Jan,5,1325000,"Google for Startups, Inclusive Ventures Lab, Navigate Accelerator, TechRise Chicago",4
Atomic Orbital Hydrogen Wave Vector,2021,"Information Services, Information Technology, Software","Chicago, Illinois, United States",60642,Atomic Orbital Hydrogen Wave Vector offers Identity Access Management professional and managed services.,Active,1313127,,,,,,Private,,,,,$1M to $10M,11-50,,,,
Commoot,2018,"Advertising, Artificial Intelligence (AI)","Chicago, Illinois, United States",60611,Commoot Brings Awareness the the Road by Utilizing Unused Ad Space on the Sides and Back of Trucking Trailers.,Active,1811934,,,,,,Private,,,,,,11-50,,,,
EthVentures,2017,"Artificial Intelligence (AI), Blockchain, Cryptocurrency, Open Source","Chicago, Illinois, United States",60610,Blockchain. Artificial Intelligence. Digital Currency.,Closed,3429841,,,,,,Private,,,,,,10-Jan,,,,
Mechanical Design Labs,2017,"Industrial Manufacturing, Manufacturing, Mechanical Engineering, Space Travel","Chicago, Illinois, United States",60605,"Mechanical Design Labs is a manufacturing firm offering space travel equipment, GYRO scope, ozone generators, and reentry spacecraft.",Active,1739011,,,,,,Private,,,,,$1M to $10M,10-Jan,,,,
FinTank,2016,"FinTech, Information Technology","Chicago, Illinois, United States",60604,FinTank is a Chicago based FinTech community with a physical space in the Chicago loop.,Active,1040842,,,,,,Private,,,,,,,,,,
Beaxy Exchange,2017,"Cryptocurrency, Financial Exchanges, Financial Services, FinTech, Information Services, Information Technology","Chicago, Illinois, United States",60604,Beaxy is the new generation of cryptocurrency and digital asset exchange,Active,1113575,,,,,,Private,,,,,$1M to $10M,101-250,,,,
Astra Spacelines,2016,"Aerospace, Space Travel, Travel Agency","Sugar Grove, Illinois, United States",60554,"Space Transportation offering safe, frequent, and affordable flights to space for both passengers and freight.",Closed,168758,Seed,2016-06-01,Seed,,,Private,,,,,Less than $1M,10-Jan,1,380000,,
Visionary Transportation,2016,"Aerospace, Electric Vehicle, Space Travel","Lockport, Illinois, United States",60441,Visionary Transportation is a manufacturer of quality electric vehicles.,Active,185590,,2017-01-01,Equity Crowdfunding,,,Private,,,,,,10-Jan,2,14600,,
Sath,2021,"Compliance, Cyber Security, Identity Management, Information Technology","Schaumburg, Illinois, United States",60195,"Focused on cybersecurity, Sath built IDHub, a low-code IAM platform. Instantly on/off-board user accounts/permissions, to apps & platforms.",Active,79228,Seed,2022-01-01,Seed,,,Private,,,,,$1M to $10M,11-50,1,400000,Arun Binaykia,1
DWG Holdings,2016,"Aerospace, Automotive, Commercial Real Estate, Consulting, Finance, Internet of Things, Product Management, Robotics, Software Engineering, Venture Capital","Chicago, Illinois, United States",60008,Leading R&D destination and technology conglomerate of CEE & CIS regions,Active,3276798,,,,,,Private,,,,,Less than $1M,10001+,,,,
One Auction View,2019,"Information Technology, SaaS, Software","Los Angeles, California, United States",59901,"SaaS, Specialty software for Auto Dealer to find and buy cars, with proprietary analytics.",Active,1609159,,,,,,Private,,,,,,10-Jan,,,,
Resilient Computing,2020,"Computer, Hardware, Manufacturing","Bozeman, Montana, United States",59718,Resilient Computing technology develops computer architectures that can withstand the harsh radiation environment of space.,Active,162399,,2021-11-12,Grant,,,Private,,,,,,10-Jan,1,90000,NASA,1
Victoria Fide Consulting,2021,"Consulting, Information Technology, Project Management, Software","Alexandria, Minnesota, United States",56308,"Victoria Fide Consulting is an IT firm specializing in software development, project management, and team preparation.",Active,2185661,,,,,,Private,,,,,,10-Jan,,,,
Precision Stainless,2016,"Industrial Manufacturing, Machinery Manufacturing, Manufacturing","Caledonia, Michigan, United States",55921,Precision Stainless is a manufacturer of stainless steel tube fittings.,Active,2719457,,,,,,Private,,,,,$1M to $10M,11-50,,,,
Caerus Corp,2015,"Biotechnology, Fitness, Health Care, Manufacturing, Medical, Medical Device, Veterinary","Blaine, Minnesota, United States",55449,Caerus Corp company will remain independent and focused on the orthopedic market.,Active,99852,,2016-01-26,Venture - Series Unknown,,,Private,,,,,$1M to $10M,10-Jan,2,2575000,,
Nova Space,2021,"Aerospace, Corporate Training, Space Travel","Minneapolis, Minnesota, United States",55437,Mission: Accelerate Space professional development through digital training courses and provide the preeminent professional certifications,Active,712726,,,,,,Private,,,,,,10-Jan,,,,
Revience,2021,"Construction, Information Technology, Smart Home","Albertville, Minnesota, United States",55301,"Revience brings smart home technology, home space and energy management, and stylish cabinetry to tailor the home to a family's lifestyle.",Active,971737,,,,,,Private,,,,,,11-50,,,,
Wisconsin Games Alliance,2015,"Gaming, Information Technology, PC Games","Madison, Wisconsin, United States",53711,Wisconsin Games Alliance is a game development company.,Active,3176170,,,,,,Private,,,,,$1M to $10M,11-50,,,,
FANTM,2020,"Artificial Intelligence (AI), Augmented Reality, Hardware, Human Computer Interaction, Software, Virtual Reality, Wearables","Madison, Wisconsin, United States",53703,FANTM is building the future of non-invasive human-computer integration.,Active,155560,Seed,2020-10-01,Seed,,,Private,,,,,,10-Jan,1,100000,"gener8tor, Right Side Capital Management",2
4DMobile,2016,"Information Technology, Mobile Apps, Software","Hiawatha, Iowa, United States",52233,4DMobile developing mobile visioning software systems for measuring package dimensions and optimizing warehouse space.,Active,2808438,,,,,,Private,,,,,$1M to $10M,11-50,,,,
RandomWalk Technologies LLC,2018,"Artificial Intelligence (AI), Natural Language Processing, Software","Ames, Iowa, United States",50010,SaaS platform for social media analytics utilizing a Natural Language Processing based querying engine,Closed,2619193,,,,,,Private,,,,,,10-Jan,,,,
Orbion Space Technology,2017,"Manufacturing, Satellite Communication, Space Travel","Houghton, Michigan, United States",49931,Orbion Space Technology develops and manufactures plasma propulsion systems for small satellites.,Active,20776,,2023-05-24,Undisclosed,,,Private,,,,,$1M to $10M,11-50,3,29200000,"Inventus Capital Partners, Invest Detroit, Ann Arbor SPARK, Beringea, Material Impact",10
Steelhead Technologies,2020,"Artificial Intelligence (AI), Manufacturing, SaaS, Scheduling, Software","Calumet, Michigan, United States",49913,Steelhead Technologies is a manufacturing and scheduling SaaS company deploying AI and modern software into the high mix industrial space.,Active,45708,Early Stage Venture,2023-10-11,Series A,,,Private,,,,Growing,$1M to $10M,11-50,3,10200000,"Stage 2 Capital, C2 Ventures, TIA Ventures",3
Kall Morris Inc,2019,"Aerospace, Artificial Intelligence (AI), Logistics, Machine Learning, Robotics","Marquette, Michigan, United States",49855,"KMI is a space solutions company developing hardware and software technologies to rendezvous, retrieve, and relocate Resident Space Objects.",Active,127675,Early Stage Venture,2023-04-07,Series A,,,Private,,,,Growing,$1M to $10M,11-50,6,279000,"Creative Destruction Lab (CDL), Red Cedar Ventures, Michigan Rise, Sica Ventures, Dug Song",7
ATLAS Space Operations,2015,"Aerospace, Enterprise Software, Telecommunications","Traverse City, Michigan, United States",49684,"ATLAS Space Operations is the Satellite Communications as a Service Getting Your Data, Faster",Active,1685,,2024-09-04,Venture - Series Unknown,,,Private,,,High,Growing,$1M to $10M,11-50,7,52000000,"Revolution’s Rise of the Rest Seed Fund, Mitsui & Co, Beringea, Space Capital, Wakestream Ventures",15
Everything MSP,2017,"Business Development, Information Technology, Internet, Software","Jenison, Michigan, United States",49428,"Everything MSP LLC supports Managed Service Providers with resources, networking, and industry insights.",Active,1106819,,,,,,Private,,,,,$1M to $10M,10-Jan,,,,
Space Interactions Inc.,2021,"Aerospace, Software","Sterling Heights, Michigan, United States",48312,"Modeling, Simulation, and Predictive Analytics Platform",Active,148632,Seed,2022-12-01,Pre-Seed,,,Private,,,,,,10-Jan,2,200000,,
College DAO,2022,"Blockchain, Education, Events, Information Technology, Recruiting","Ann Arbor, Michigan, United States",48104,"College DAO is the largest and fastest-growing community in the student blockchain space, at over 100+ universities worldwide.",Active,1902770,,,,,,Private,,,,,,11-50,,,,
Adranos Energetics,2015,"Aerospace, Industrial, Military","Lafayette, Indiana, United States",47906,"Adranos Energetics develops propellants, explosives, and other energetic materials for use in space and military platforms.",Active,62957,M&A,2022-04-26,Series A,Anduril Industries,,Private,,,,Growing,$1M to $10M,11-50,6,32890000,"Elevate Ventures, Explorer 1 Fund, Sica Ventures, NO/LA Angel Network, Archibald Cox",6
Pluto Aerospace,2021,Aerospace,"West Lafayette, Indiana, United States",47906,Pluto Aerospace develops launch vehicle platforms for rapid economical and reliable access to suborbital flight environments.,Active,170344,Seed,2022-03-30,Pre-Seed,,,Private,,,,,,10-Jan,2,30000,Purdue Foundry,1
BroadLoop,2016,"Computer, Construction, Information Services, Information Technology, Infrastructure, Internet of Things, Logistics, SaaS, Supply Chain Management, Transportation","Sellersburg, Indiana, United States",47172,Paving Intelligence Platform helping asphalt contractors measure and improve the key metrics that drive performance across their operation,Active,116187,Seed,2021-09-18,Pre-Seed,,,Private,,,,,,10-Jan,3,495000,"Techstars, The Vogt Awards",2
Perceive,2016,"Artificial Intelligence (AI), Customer Service, Machine Learning, Retail, Software","Fishers, Indiana, United States",46038,Consumer behavior analytics for the non-digital/physical world leveraging 3D cameras and AI.,Active,96103,Seed,2020-03-25,Seed,,,Private,,,,,$1M to $10M,10-Jan,3,1576330,"National Science Foundation, Alchemist Accelerator",2
Montgomery County Business Solutions Center,2016,"Consulting, Financial Services, Government, Information Technology","Dayton, Ohio, United States",45417,Montgomery County is a group of economic development and workforce specialists determined to see your business succeed.,Active,2151586,,,,,,Private,,,,,,,,,,
StrideUX,2019,"Digital Marketing, Information Technology, Software, Software Engineering, Web Design, Web Development","Canton, Ohio, United States",44706,"strideUX specializes in user experience design and software development, focusing on enhancing digital products.",Active,1334590,,,,,,Private,,,,,$1M to $10M,10-Jan,,,,
Tradesmen,2021,"CRM, Information Technology, Mobile Payments, Payments, SaaS","Cleveland, Ohio, United States",44253,"Saas software in the Service management, lead generation, payments & communication space. Serving the Home Services Industries",Active,976904,Seed,2023-08-01,Pre-Seed,,,Private,,,,,,10-Jan,1,,,
Wisr,2016,"Education, Enterprise Software, Information Technology","Cleveland, Ohio, United States",44113,Wisr helps colleges and universities leverage technology to actively foster engagement through dynamic virtual communities.,Active,168593,M&A,2018-08-01,Non-equity Assistance,EAB,,Private,,,,,Less than $1M,51-100,3,1400000,"JumpStart, Village Capital, North Coast Ventures, InvestHER Ventures, Carl E. Baldassarre",7
Columbus Apparel Studio,2019,"Apparel, Fashion, Manufacturing, Textiles","Columbus, Ohio, United States",43214,"Columbus Apparel Studio specializes in apparel consulting, design, development, and sampling services.",Active,2111852,,,,,,Private,,,,,$1M to $10M,11-50,,,,
Substratum Network,2017,"Blockchain, Cryptocurrency, Information Technology, Internet","Delaware, Ohio, United States",43015,Substratum is developing an open-source foundation for the decentralized web.,Active,62500,,2017-08-14,Initial Coin Offering,,,Private,,,,,Less than $1M,10-Jan,2,18800000,"Alex Dahan, Render Payment Systems",2
Natalus Inc.,2017,"3D Technology, Information Technology, Internet of Things, Logistics, Parking, Smart Cities, Supply Chain Management","Newport, Kentucky, United States",41071,"Natalus is mapping solution, providing real-time data of the occupancy of any space or place, creating seamless automation.",Closed,161367,Seed,2018-10-09,Grant,,,Private,,,,,$1M to $10M,10-Jan,5,92000,"University of Cincinnati, RCF Group, Best Upon Request, The Brandery, OCEAN Accelerator",5
Twiggs Space Lab,2016,"E-Commerce, Manufacturing, Product Design","Lexington, Kentucky, United States",40515,"Twiggs Space Lab is a manufacturer of cricket sat, cansat kits, and jiggy products.",Active,2674667,,,,,,Private,,,,,,10-Jan,,,,
Resound,2021,"Artificial Intelligence (AI), Machine Learning, Podcast, Productivity Tools, Software Engineering","Prospect, Kentucky, United States",40206,Resound is the AI Podcast Editing Tool for Creators.,Active,100247,Seed,2022-07-15,Pre-Seed,,,Private,,,,,$1M to $10M,10-Jan,1,1350000,"Keyhorse Capital (KSTC), Render capital, Bluegrass Angels, Commonwealth Seed Capital, Lunsford Capital",7
Space Elements,2021,"Aerospace, Satellite Communication, Software","Nashville, Tennessee, United States",37203,Space Elements is a company that researches and develops space exploration technology.,Active,89441,Seed,2022-09-08,Angel,,,Private,,,,,,10-Jan,3,700000,Ira Bell,1
Reliable MicroSystems,2016,"Electronics, Industrial, Industrial Manufacturing, Manufacturing","Franklin, Tennessee, United States",37067,"Reliable MicroSystems specializes in microelectronic design, modelling, simulation, and electronics for space and defense applications.",Active,1454034,,,,,,Private,,,,,,11-50,,,,
HackBama,2017,"Digital Marketing, Information Technology, Security","Huntsville, Alabama, United States",35805,"Hackbama is an information security company that provides vulnerability analysis, penetration testing, and digital forensics services.",Active,2572967,,,,,,Private,,,,,,11-50,,,,
Engenix,2018,"Artificial Intelligence (AI), Machine Learning, Service Industry, Software, Training, Virtual Reality","Huntsville, Alabama, United States",35805,Engenix provides service for defense and space manufacturing.,Active,2057558,,2021-09-01,Non-equity Assistance,,,Private,,,,,Less than $1M,10-Jan,1,,gbeta,1
ATRX,2021,Aerospace,"Huntsville, Alabama, United States",35803,Space Planes - The Future of Launch,Active,2671928,,,,,,Private,,,,,,10-Jan,,,,
Interstellar Technologies Corporation,2015,"Aerospace, Space Travel","Huntsville, Alabama, United States",35802,"Interstellar rapidly delivers innovative and high performing aerospace solutions through bold, decisive and inspiring actions",Active,1791468,,2019-09-01,Non-equity Assistance,,,Private,,,,,$1M to $10M,10-Jan,1,,Creative Destruction Lab (CDL),1
Underground Refuses Systems,2015,"Information Technology, Robotics, Transportation","Kissimmee, Florida, United States",34741,Underground Refuses Systems is a technology to reshape solid waste management.,Active,977971,,,,,,Private,,,,,,,,,,
Startup Space,2018,"Communities, Consulting, Information Technology, Internet","Dunedin, Florida, United States",34698,"Connect Startups, Entrepreneurs & Small Businesses in local online communities for peer support, expert help, & a sandbox to incubate ideas",Active,2109437,,,,,,Private,,,,,Less than $1M,10-Jan,,,,
Economic Impact Catalyst,2018,"Information Technology, Knowledge Management, Software","Dunedin, Florida, United States",34697,"Economic Impact Catalyst is an economic development platform that provides market research, impact reporting, and advocacy services.",Active,571035,,,,,,Private,,,,,$1M to $10M,11-50,,,,
Analytica Biosciences,2023,"Biotechnology, Health Care, Information Technology","Naples, Florida, United States",34109,Analytica Biosciences develops tools to assist academic and institutional researchers discover novel therapies to diseases.,Active,172930,Seed,,Seed,,,Private,,,,,,10-Jan,1,10000,,
Elite Jets,2016,"Aerospace, Air Transportation, Rental","Naples, Florida, United States",34104,Elite Jets is a jet charter company that provides charter revenue programs and aircraft management services.,Active,1872445,,,,,,Private,,,,,$1M to $10M,11-50,,,,
Space-Tech,2020,"Artificial Intelligence (AI), Computer Vision, Machine Learning, Robotics, Software Engineering","Fort Myers, Florida, United States",33913,"Space-Tech is a space technology company specializing in computer vision, AI, and ML systems.",Active,694270,,,,,,Private,,,,,$1M to $10M,11-50,,,,
Viirtue,2018,"Information Technology, Software, Telecommunications","St. Petersburg, Florida, United States",33705,Wholesale Cloud Services Distributor Serving 140k+ Subscribers Across the US&CA.,Active,13829,Early Stage Venture,2023-03-07,Series A,,,Private,,,,Growing,$1M to $10M,51-100,1,10800000,Ballast Point Ventures,1
Accutrieve,2018,"Information Services, Information Technology","Tampa, Florida, United States",33647,"Accutrieve realizes improvements in speed, accuracy, workflow, security, space utilization, and user ergonomics.",Active,383447,,,,,,Private,,,,,$1M to $10M,11-50,,,,
Newgentek,2017,"Cloud Computing, Digital Signage, Information Services, Information Technology, IT Infrastructure, Network Hardware, Point of Sale","Tampa, Florida, United States",33634,"managed it services, it infrastructure, workplace technology, conference rooms, huddle space, microsoft partner",Active,533536,,,,,,Private,,,,,$1M to $10M,11-50,,,,
Special Applications Group,2016,Information Technology,"Tampa, Florida, United States",33619,Special Applications Group is a defense & space company that offers special operations and first response services.,Active,635521,,,,,,Private,,,,,$10M to $50M,101-250,,,,
GuardianSat,2019,Satellite Communication,"Tampa, Florida, United States",33612,GuardianSat is a revolutionary company with critical patents focuses on orbital asset protection,Active,123981,,2024-01-24,Non-equity Assistance,,,Private,,,,Growing,,10-Jan,2,273000,America's Seed Fund,1
Celestar Holdings Corporation,2015,"Education, Information Technology","Tampa, Florida, United States",33610,Celestar Holdings Corporation is a defense & space company offering intelligence training services.,Active,313422,,,,,,Private,,,,,$1M to $10M,101-250,,,,
Miles Space,2016,Aerospace,"Tampa, Florida, United States",33607,Miles Space is an aerospace company providing spacecraft propulsion and communications services.,Active,147982,M&A,2020-06-05,Grant,Rocketstar,,Private,,,,Growing,$1M to $10M,10-Jan,3,100000,"Creative Destruction Lab (CDL), NASA, Florida Venture Forum",3
EGLAVATOR,2017,"CRM, Information Technology, Software","Boca Raton, Florida, United States",33487,"Technology Accelerator, Office Space & Incubator",Active,749030,,,,,,Private,,,,,Less than $1M,11-50,,,,
Manufacturefy,2018,"Artificial Intelligence (AI), Information Technology, Internet, Manufacturing, Software","Palm Beach, Florida, United States",33480,Connecting creators directly with manufacturers across all industries and scales around the world.,Active,185848,Seed,2019-01-01,Seed,,,Private,,,,,Less than $1M,10-Jan,1,50000,,
Milcasa Store,2018,"Building Material, E-Commerce, Manufacturing","Lake Worth, Florida, United States",33461,"Milcasa Store manufactures modern door hardware, including hinges, handles, and locks for sliding, barn, and swinging doors.",Active,322660,,,,,,Private,,,,,$1M to $10M,11-50,,,,
PROXDIS,2020,"Health Care, Hospital, Information Technology, Medical, Medical Device, Software","Boca Raton, Florida, United States",33432,"A healthcare collaboration company, uniting healthcare professionals and life science partners with a modern mobile app clinical experience.",Active,1262707,,,,,,Private,,,,Growing,,10-Jan,,,,
Launchspace,2016,"Aerospace, Space Travel","Boca Raton, Florida, United States",33431,"Launchspace has patented solutions to remove orbital debris that threatens astronauts, satellites and the International Space Station.",Active,114334,,2021-09-08,Equity Crowdfunding,,,Private,,,,,Less than $1M,11-50,1,329254,Mirza Canada,1
Mircod,2015,"Artificial Intelligence (AI), Biotechnology, Health Care, Information Technology, Internet of Things, Medical Device, Product Design, Robotics, Sensor, Software","Boca Raton, Florida, United States",33431,Internet of Things as a Service. Rapid prototyping of hardware and software related IoT systems.,Active,126303,Seed,2018-01-01,Seed,,,Private,,,,,$1M to $10M,101-250,3,2250000,"Elvira Fainshtein, Michael Fainshtein, Yaron Adler, Oded Federbusch, Ori Sharoni",6
MyOfficeBot,2018,Information Technology,"Sunrise, Florida, United States",33323,"MyOfficeBot built on a ""fixed price, fixed timeline, fixed outcome"" business model, has gained recognition in the RPA space.",Active,2680074,M&A,,,OpenBots,,Private,,,,,,,,,,
KOIN Network,2017,"Cryptocurrency, Information Technology, Marketplace","Fort Lauderdale, Florida, United States",33301,"KOIN Network is a NFT marketplace that provides space for featuring, marketing, buying, and selling NFTs.",Active,3244761,,,,,,Private,,,,,,11-50,,,,
Nexis Network,2021,"Blockchain, Information Technology, Web3","Miami, Florida, United States",33162,A public layer-1 blockchain foundation for the decentralization of an Artificial Intelligence ecosystem.,Active,40638,Seed,2024-04-04,Seed,,,Private,,,,Growing,,11-50,2,4500000,"Castrum Capital, Metavest Capital",2
Digital Golgi,2018,"Analytics, Big Data, Blockchain, Cryptocurrency, Information Technology, Software","Coral Gables, Florida, United States",33143,The Bloomberg Terminal For Cryptocurrencies,Closed,3037875,,,,,,Private,,,,,,10-Jan,,,,
PartsHawk,2020,"Artificial Intelligence (AI), Automotive, E-Commerce, Internet, Machine Learning, Retail, Retail Technology","Miami, Florida, United States",33143,eCommerce startup changing the way you buy auto parts online.,Active,870979,,,,,,Private,,,,,$1M to $10M,11-50,,,,
Data Science Salon,2016,"Artificial Intelligence (AI), Big Data, Information Technology","Miami, Florida, United States",33137,"Unique vertical focused conference which grew into the most diverse community of sr data science, ML and other technical data specialists.",Active,1009109,,,,,,Private,,,,,,,,,,
Avenue Z,2023,"Artificial Intelligence (AI), Blockchain, Consumer Goods, Cryptocurrency, Media and Entertainment, Real Estate, Space Travel, Venture Capital","Miami, Florida, United States",33137,Avenue Z is an Integrated communication strategies through the convergence of public relations & digital media.,Active,602416,,,,,,Private,,,,Growing,$1M to $10M,51-100,,,,
Auso Tech,2021,"Consulting, Information and Communications Technology (ICT), Information Technology","Miami, Florida, United States",33133,"Auso Tech provides networking, consulting, and managed IT services.",Active,3075151,,,,,,Private,,,,,,11-50,,,,
"Space-Eyes, LLC",2021,"Information Services, Information Technology, Logistics, Software","Miami, Florida, United States",33132,"Space-Eyes gathers LEO sensor imagery and performs multi-sensor fusion, threat and contextual analytics automatically.",Active,579231,,,,,,Private,,,,,$1M to $10M,11-50,,,,
3i3Signature,2021,"Aerospace, Consulting, Space Travel","Miami, Florida, United States",33131,3i3Signature is an aerospace consulting company that specializes in space travel.,Active,2358572,,,,,,Private,,,,,$1M to $10M,10-Jan,,,,
Emorejay Software,2024,"Artificial Intelligence (AI), Information Technology, Software, Web Development","Miami, Florida, United States",33131,"Emorejay Software drives business success with innovative web, mobile, and AI-driven marketing SaaS solutions.",Active,669869,,,,,,Private,,,,,,11-50,,,,
Aclaro,2018,"Analytics, Big Data, Blockchain, FinTech, Information Technology, Marketing, Software","Miami, Florida, United States",33130,"Predictive Analytics, Block Chain, Fin Tech, Health Tech",Active,2759887,Seed,2018-06-15,Seed,,,Private,,,,,Less than $1M,10-Jan,1,,,
Space Made Media,2018,"Advertising, Blockchain, Consulting, Information Technology","Miami, Florida, United States",33127,Public Relations Agency with niche focus in the blockchain technology sector,Active,3022474,,,,,,Private,,,,,,10-Jan,,,,
Timeline,2016,"Fashion, Information Technology, iOS, SaaS, Software, Web Design","Pompano Beach, Florida, United States",33069,"Suite of visual collaboration tools for designers, developers, and their clients.",Active,683903,,,,,,Private,,,,,$10M to $50M,10-Jan,,,,
Eta Space,2019,"Aerospace, Test and Measurement","Rockledge, Florida, United States",32955,Eta Space provides cryogenic solutions for space and earth.,Active,124253,,2023-05-15,Grant,,,Private,,,,,$1M to $10M,11-50,1,197884,US Department of Energy,1
X-lumin,2019,"Laser, Optical Communication, Satellite Communication","Merritt Island, Florida, United States",32953,"X-lumin provides ground-to-space laser communication, optical wireless communication, and space situational awareness.",Active,513557,,,,,,Private,,,,,,10-Jan,,,,
OrbitsEdge,2018,"Aerospace, Analytics, Commercial, Data Center","Cocoa Beach, Florida, United States",32931,OrbitsEdge provides the first commercial access to datacenter-grade computing and analytics in orbit.,Active,153674,Seed,2021-12-13,Seed,,,Private,,,,,,10-Jan,1,250000,Newchip Accelerator,1
Vaya Space,2017,"Aerospace, Manufacturing, Transportation","Cocoa, Florida, United States",32926,Vaya Space is a sustainable aviation and aerospace company producing rockets for low-reach orbit.,Active,19951,,2023-01-18,Venture - Series Unknown,,,Private,,,,Growing,$10M to $50M,51-100,4,36416772,Capital Q® Ventures Inc.,1
IO Aircraft,2016,"Aerospace, Air Transportation, Manufacturing","Kissimmee, Florida, United States",32920,IO Aircraft is a manufacturer of aircraft and air taxis for the aerospace and space industries.,Active,1792563,,,,,,Private,,,,,$1M to $10M,11-50,,,,
Starfighters Space,2022,"Aerospace, Air Transportation, Space Travel","Cape Canaveral, Florida, United States",32920,Starfighters Space launches commercial space activities.,Active,36876,Seed,,Seed,,,Private,,,,,,10-Jan,11,9151100,,
Eagle Lake Laboratories,2020,"Computer, Information Technology, Network Security, Software","Palm Bay, Florida, United States",32905,Eagle Lake Laboratories is a Florida based engineering corporation.,Active,123459,M&A,2020-03-23,Seed,Sollensys,,Private,,,,,Less than $1M,10-Jan,1,930000,,
Tomahawk Robotics,2018,"Military, Product Design, Robotics, Software","Melbourne, Florida, United States",32901,Tomahawk Robotics creates safe robotic solutions for unmanned systems in stressful and harsh environments.,Active,57082,M&A,2022-01-01,Venture - Series Unknown,AeroVironment,"$120,000,000",Private,,,,Growing,$1M to $10M,51-100,3,2400000,"Techstars, Mosley Ventures, Service Provider Capital, Scout Ventures, Naples Technology Ventures",7
Space Perspective,2019,"Aerospace, Space Travel, Tourism","Merritt Island, Florida, United States",32899,Space Perspective is a space travel company that provides an accessible carbon-neutral spaceflight experience.,Active,4570,,2024-02-02,Venture - Series Unknown,,,Private,,,,Growing,$10M to $50M,101-250,6,65083333,"Trinity Capital, Gaingels, 1517 Fund, Prime Movers Lab, Base Ventures",17
"IoT Logistics, LLC",2018,"Aerospace, Blockchain, Environmental Consulting, Environmental Engineering, Information and Communications Technology (ICT), Internet of Things, Logistics, Space Travel, STEM Education, Web3","Orlando, Florida, United States",32839,"IoT Logistics, LLC is an emerging technology integration service provider and incubator. We are a government contracting qualified entity.",Active,3212886,,,,,,Private,,,,,,10-Jan,,,,
